Link,Fiyat,Oda Sayısı,Bulunduğu Kat,Metrekare,Konum,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Aidat,Tapu Durumu,Site İçerisinde,Depozito,Banyo Sayısı,Banyo Metrekare,Balkon Durumu,Salon Metrekare,WC Sayısı,Fiyat Durumu,Görüntülü Gezilebilir mi?,Ada,Parsel
https://www.emlakjet.com/ilan/roma-dan-devlet-hastanesi-yani-kiralik-daire-17372126/,25.000 TL,3+1,2. Kat,120 m²,Bursa - İnegöl - Kemalpaşa Mahallesi,17372126,21 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,105 m²,120 m²,0 (Yeni),3,Yerden Isıtma,Boş,,,,Kat İrtifakı,Hayır,,1,,,,,Genel Fiyat,,174,5
https://www.emlakjet.com/ilan/bursa-nilufer-besevler-konak-mah-kiralik-2-kat-31-lux-daire-40-000-tl-17372106/,40.000 TL,3+1,2. Kat,170 m²,Bursa - Nilüfer - Konak Mahallesi,17372106,21 Mayıs 2025,22 Mayıs 2025,Konut,Kiralık,Daire,150 m²,170 m²,11-15,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,2,,,,,Genel Fiyat,,497,4
https://www.emlakjet.com/ilan/roma-dan-cerrah-mh-de-kiralik-daire-17372067/,15.000 TL,2+1,2. Kat,105 m²,Bursa - İnegöl - Cerrah Mahallesi,17372067,21 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,85 m²,105 m²,0 (Yeni),3,Yerden Isıtma,Boş,,,,Kat Mülkiyeti,Hayır,,1,,,,,Genel Fiyat,,126,76
https://www.emlakjet.com/ilan/roma-dan-devlet-hastanesine-yakin-kiralik-daire-17372038/,12.000 TL,2+1,5. Kat,127 m²,Bursa - İnegöl - Burhaniye Mahallesi,17372038,21 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,100 m²,127 m²,21 Ve Üzeri,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,1,,,,,Genel Fiyat,,523,231
https://www.emlakjet.com/ilan/bursa-nilufer-cali-gumuslukte-21-firsat-masrafsiz-kiralik-daire-17371166/,20.000 TL,2+1,Bahçe katı,110 m²,Bursa - Nilüfer - Çalı Mahallesi,17371166,20 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,90 m²,110 m²,5-10,4,Kombi Doğalgaz,Boş,,Boş,,Kat İrtifakı,Hayır,,1,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/bursa-nilufer-ihsaniye-doguskent-11kiralik-manzarali-loft-daire-17371165/,30.500 TL,1+1,13. Kat,90 m²,Bursa - Nilüfer - Karaman Mahallesi,17371165,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,80 m²,90 m²,5-10,13,Merkezi (Pay Ölçer),Boş,,Boş,,Kat Mülkiyeti,Evet,,1,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/arapzade-mahallesinde-31-kiralik-daire-17371025/,20.000 TL,3+1,3. Kat,140 m²,Bursa - Orhangazi - Arapzade Mahallesi,17371025,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,130 m²,140 m²,21 Ve Üzeri,5,Kombi Doğalgaz,Boş,,,,Tapu Kaydı Yok,Evet,,1,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/cemal-emlak-bursa-yildirim-yesilyayla-21-2-adet-kiralik-daire-17370990/,12.000 TL,2+1,Yüksek giriş,110 m²,Bursa - Yıldırım - Yeşilyayla Mahallesi,17370990,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,90 m²,110 m²,21 Ve Üzeri,2,Doğalgaz Sobalı,Boş,,,,Bilinmiyor,Hayır,,1,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/alpis-aden-house-da-2-51-kiralik-daire-17370885/,32.000 TL,2.5+1,9. Kat,121 m²,Bursa - Osmangazi - Panayır Mahallesi,17370885,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,101 m²,121 m²,5-10,15,Kombi Doğalgaz,Boş,,Boş,,Kat Mülkiyeti,Evet,,2,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/almina-dan-sosyal-donatili-lux-havuzlu-sitede-21-full-esyali-kiralik-daire-17370725/,17.000 TL,2+1,2. Kat,65 m²,Bursa - Nilüfer - Dumlupınar Mahallesi,17370725,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,48 m²,65 m²,2,5,Yerden Isıtma,Boş,Sıfır,Eşyalı,2250 TL,Bilinmiyor,Hayır,,1,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/morina-gayrimenkul-den-baglaraltinda-kiralik-31-daire-17369986/,17.000 TL,3+1,4. Kat,140 m²,Bursa - Yıldırım - Bağlaraltı Mahallesi,17369986,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,120 m²,140 m²,21 Ve Üzeri,9,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Evet,,2,,,,,Genel Fiyat,,4142,63
https://www.emlakjet.com/ilan/morina-gayrimenkul-den-elmasbahcelerde-kiralik-genis-21-daire-17369915/,15.000 TL,2+1,4. Kat,110 m²,Bursa - Osmangazi - Elmasbahçeler Mahallesi,17369915,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,100 m²,110 m²,21 Ve Üzeri,4,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Hayır,,1,,,,,Genel Fiyat,,2162,30
https://www.emlakjet.com/ilan/morina-gayrimenkul-den-elmasbahcelerde-kiralik-11-daire-17369824/,12.000 TL,1+1,Bahçe katı,70 m²,Bursa - Osmangazi - Demirtaşpaşa Mahallesi,17369824,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,60 m²,70 m²,11-15,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,1,,,,,Genel Fiyat,,2202,55
https://www.emlakjet.com/ilan/bursa-osmangazi-sakarya-mhde-kiralik-21-daire-17369612/,15.000 TL,2+1,2. Kat,80 m²,Bursa - Osmangazi - Sakarya Mahallesi,17369612,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,75 m²,80 m²,21 Ve Üzeri,5,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Hayır,15000 TL,1,,,,,Genel Fiyat,,2627,20
https://www.emlakjet.com/ilan/bursa-yildirim-yildirim-beyazit-cami-alti-31-kombili-acik-otoparkli-1-kat-daire-kiralik-17368113/,15.000 TL,3+1,1. Kat,145 m²,Bursa - Yıldırım - Yıldırım Mahallesi,17368113,20 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,140 m²,145 m²,21 Ve Üzeri,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,15000 TL,1,,,,,Genel Fiyat,,2733,6
https://www.emlakjet.com/ilan/bursa-orhangazi-arapzade-mahallesi-kiralik-11-daire-17367039/,8.500 TL,1+1,Düz Giriş (Zemin),80 m²,Bursa - Orhangazi - Arapzade Mahallesi,17367039,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,75 m²,80 m²,21 Ve Üzeri,4,Sobalı,Boş,İkinci El,,,Bilinmiyor,Hayır,,1,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/sahibinden-kiralik-17367030/,29.000 TL,3+1,8. Kat,110 m²,Bursa - Nilüfer - Yüzüncüyıl Mahallesi,17367030,20 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,100 m²,110 m²,16-20,9,Kombi Doğalgaz,Boş,Sıfır,Boş,1000 TL,Kat Mülkiyeti,Evet,29000 TL,1,8 m²,Var,25 m²,2,Genel Fiyat,Hayır,2278,1
https://www.emlakjet.com/ilan/gursu-tokiler-31-120-m-kiralik-daire-17366986/,15.850 TL,3+1,Yüksek giriş,135 m²,Bursa - Gürsu - İpekyolu Mahallesi,17366986,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,120 m²,135 m²,5-10,14,Merkezi Doğalgaz,Boş,İkinci El,Boş,750 TL,Kat Mülkiyeti,Hayır,20000 TL,1,6 m²,Var,17 m²,2,Genel Fiyat,,551,2
https://www.emlakjet.com/ilan/site-icinde-sahibinden-31-kiralik-daire-17366759/,20.000 TL,3+1,7. Kat,150 m²,Bursa - Yıldırım - 75. Yıl Mahallesi,17366759,20 Mayıs 2025,22 Mayıs 2025,Konut,Kiralık,Daire,125 m²,150 m²,16-20,8,Kombi Doğalgaz,Boş,İkinci El,,350 TL,Kat İrtifakı,Evet,,1,,Var,,2,Genel Fiyat,Evet,4198,1
https://www.emlakjet.com/ilan/21-firsat-luks-kiralik-daire-17366753/,24.500 TL,2+1,3. Kat,100 m²,Bursa - Nilüfer - Özlüce Mahallesi,17366753,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,90 m²,100 m²,5-10,3,Yerden Isıtma,Boş,,Boş,,Kat Mülkiyeti,Evet,,1,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/fsm-caddesine-100m-merkezi-konumda-aydinlik-salkim-1-sitesi-31-kiralik-daire-17341809/,28.000 TL,3+1,5. Kat,155 m²,Bursa - Nilüfer - Esentepe Mahallesi,17341809,15 Mayıs 2025,15 Mayıs 2025,Konut,Kiralık,Daire,140 m²,155 m²,16-20,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,1,,,,,Genel Fiyat,,1949,4
https://www.emlakjet.com/ilan/gorukle-21-esyali-site-icinde-kiralik-daire-17267459/,13.000 TL,2+1,5. Kat,65 m²,Bursa - Nilüfer - Dumlupınar Mahallesi,17267459,02 Mayıs 2025,14 Mayıs 2025,Konut,Kiralık,Daire,55 m²,65 m²,11-15,5,Kombi Doğalgaz,Boş,İkinci El,Eşyalı,,Kat Mülkiyeti,Evet,,1,,Var,,1,Genel Fiyat,Evet,5543,1
https://www.emlakjet.com/ilan/turyap-city-den-camlica-ona-residence-kiralik-31-daire-16789686/,55.000 TL,3+1,9. Kat,158 m²,Bursa - Nilüfer - Çamlıca Mahallesi,16789686,07 Şubat 2025,17 Mayıs 2025,Konut,Kiralık,Daire,133 m²,158 m²,3,11,Merkezi Doğalgaz,Boş,,,2950 TL,Kat Mülkiyeti,Hayır,100000 TL,2,,,,,Genel Fiyat,,3904,1
https://www.emlakjet.com/ilan/kiralik-daire-esyasiz-16251110/,12.000 TL,1+1,2. Kat,46 m²,Bursa - İnegöl - Akhisar Mahallesi,16251110,11 Kasım 2024,11 Mart 2025,Konut,Kiralık,Daire,40 m²,46 m²,0 (Yeni),4,Yerden Isıtma,Boş,,Boş,,Bilinmiyor,Evet,,1,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/akhisar-da-sifir-kiralik-daire-son-iki-tane-16251096/,15.000 TL,3+1,Düz Giriş (Zemin),155 m²,Bursa - İnegöl - Akhisar Mahallesi,16251096,11 Kasım 2024,11 Mart 2025,Konut,Kiralık,Daire,140 m²,155 m²,0 (Yeni),1,Kombi Doğalgaz,Boş,,Boş,,Bilinmiyor,Evet,,2,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/bursa-inegol-vizyon-inegol-projesinde-kiralik-daire-16141676/,25.000 TL,3+1,3. Kat,155 m²,Bursa - İnegöl - Akhisar Mahallesi,16141676,23 Ekim 2024,11 Mart 2025,Konut,Kiralık,Daire,140 m²,155 m²,0 (Yeni),6,Yerden Isıtma,Boş,,,,Bilinmiyor,Hayır,,2,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/bursa-goruklede-kiralik-odalar-17373342/,7.000 TL,Stüdyo,2. Kat,15 m²,Bursa - Nilüfer - Görükle Mahallesi,17373342,21 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,12 m²,15 m²,5-10,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,Yok,,,,,Genel Fiyat,,5541,15
https://www.emlakjet.com/ilan/ev-sahibinden-kiralik-daire-17372257/,10.000 TL,3+1,Düz Giriş (Zemin),1.100 m²,Bursa - Yıldırım - Güllük Mahallesi,17372257,21 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,90 m²,1.100 m²,21 Ve Üzeri,3,Kombi Doğalgaz,Boş,İkinci El,Boş,0 TL,Kat Mülkiyeti,Hayır,10000 TL,1,3 m²,Yok,15 m²,1,Genel Fiyat,Hayır,1058,16
https://www.emlakjet.com/ilan/peys-den-balat-endulus-parkta-11-esyali-kiralik-daire-17372243/,25.000 TL,1+1,6. Kat,70 m²,Bursa - Nilüfer - Balat Mahallesi,17372243,21 Mayıs 2025,22 Mayıs 2025,Konut,Kiralık,Daire,55 m²,70 m²,5-10,11,Merkezi (Pay Ölçer),Boş,İkinci El,Eşyalı,,Kat Mülkiyeti,Evet,,1,,Var,,1,Genel Fiyat,,4197,8
https://www.emlakjet.com/ilan/gazi-caddesinde-31-kiralik-ferah-bakimli-ve-merkezi-daire-17372227/,26.500 TL,3+1,2. Kat,135 m²,Bursa - Nilüfer - Cumhuriyet Mahallesi,17372227,21 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,120 m²,135 m²,21 Ve Üzeri,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,26500 TL,1,,,,,Genel Fiyat,,1329,3
https://www.emlakjet.com/ilan/roma-dan-devlet-hastanesi-yani-kiralik-daire-17372126/,25.000 TL,3+1,2. Kat,120 m²,Bursa - İnegöl - Kemalpaşa Mahallesi,17372126,21 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,105 m²,120 m²,0 (Yeni),3,Yerden Isıtma,Boş,,,,Kat İrtifakı,Hayır,,1,,,,,Genel Fiyat,,174,5
https://www.emlakjet.com/ilan/bursa-nilufer-besevler-konak-mah-kiralik-2-kat-31-lux-daire-40-000-tl-17372106/,40.000 TL,3+1,2. Kat,170 m²,Bursa - Nilüfer - Konak Mahallesi,17372106,21 Mayıs 2025,22 Mayıs 2025,Konut,Kiralık,Daire,150 m²,170 m²,11-15,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,2,,,,,Genel Fiyat,,497,4
https://www.emlakjet.com/ilan/roma-dan-cerrah-mh-de-kiralik-daire-17372067/,15.000 TL,2+1,2. Kat,105 m²,Bursa - İnegöl - Cerrah Mahallesi,17372067,21 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,85 m²,105 m²,0 (Yeni),3,Yerden Isıtma,Boş,,,,Kat Mülkiyeti,Hayır,,1,,,,,Genel Fiyat,,126,76
https://www.emlakjet.com/ilan/roma-dan-devlet-hastanesine-yakin-kiralik-daire-17372038/,12.000 TL,2+1,5. Kat,127 m²,Bursa - İnegöl - Burhaniye Mahallesi,17372038,21 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,100 m²,127 m²,21 Ve Üzeri,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,1,,,,,Genel Fiyat,,523,231
https://www.emlakjet.com/ilan/bursa-nilufer-cali-gumuslukte-21-firsat-masrafsiz-kiralik-daire-17371166/,20.000 TL,2+1,Bahçe katı,110 m²,Bursa - Nilüfer - Çalı Mahallesi,17371166,20 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,90 m²,110 m²,5-10,4,Kombi Doğalgaz,Boş,,Boş,,Kat İrtifakı,Hayır,,1,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/bursa-nilufer-ihsaniye-doguskent-11kiralik-manzarali-loft-daire-17371165/,30.500 TL,1+1,13. Kat,90 m²,Bursa - Nilüfer - Karaman Mahallesi,17371165,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,80 m²,90 m²,5-10,13,Merkezi (Pay Ölçer),Boş,,Boş,,Kat Mülkiyeti,Evet,,1,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/arapzade-mahallesinde-31-kiralik-daire-17371025/,20.000 TL,3+1,3. Kat,140 m²,Bursa - Orhangazi - Arapzade Mahallesi,17371025,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,130 m²,140 m²,21 Ve Üzeri,5,Kombi Doğalgaz,Boş,,,,Tapu Kaydı Yok,Evet,,1,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/cemal-emlak-bursa-yildirim-yesilyayla-21-2-adet-kiralik-daire-17370990/,12.000 TL,2+1,Yüksek giriş,110 m²,Bursa - Yıldırım - Yeşilyayla Mahallesi,17370990,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,90 m²,110 m²,21 Ve Üzeri,2,Doğalgaz Sobalı,Boş,,,,Bilinmiyor,Hayır,,1,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/alpis-aden-house-da-2-51-kiralik-daire-17370885/,32.000 TL,2.5+1,9. Kat,121 m²,Bursa - Osmangazi - Panayır Mahallesi,17370885,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,101 m²,121 m²,5-10,15,Kombi Doğalgaz,Boş,,Boş,,Kat Mülkiyeti,Evet,,2,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/almina-dan-sosyal-donatili-lux-havuzlu-sitede-21-full-esyali-kiralik-daire-17370725/,17.000 TL,2+1,2. Kat,65 m²,Bursa - Nilüfer - Dumlupınar Mahallesi,17370725,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,48 m²,65 m²,2,5,Yerden Isıtma,Boş,Sıfır,Eşyalı,2250 TL,Bilinmiyor,Hayır,,1,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/morina-gayrimenkul-den-baglaraltinda-kiralik-31-daire-17369986/,17.000 TL,3+1,4. Kat,140 m²,Bursa - Yıldırım - Bağlaraltı Mahallesi,17369986,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,120 m²,140 m²,21 Ve Üzeri,9,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Evet,,2,,,,,Genel Fiyat,,4142,63
https://www.emlakjet.com/ilan/morina-gayrimenkul-den-elmasbahcelerde-kiralik-genis-21-daire-17369915/,15.000 TL,2+1,4. Kat,110 m²,Bursa - Osmangazi - Elmasbahçeler Mahallesi,17369915,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,100 m²,110 m²,21 Ve Üzeri,4,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Hayır,,1,,,,,Genel Fiyat,,2162,30
https://www.emlakjet.com/ilan/morina-gayrimenkul-den-elmasbahcelerde-kiralik-11-daire-17369824/,12.000 TL,1+1,Bahçe katı,70 m²,Bursa - Osmangazi - Demirtaşpaşa Mahallesi,17369824,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,60 m²,70 m²,11-15,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,1,,,,,Genel Fiyat,,2202,55
https://www.emlakjet.com/ilan/bursa-osmangazi-sakarya-mhde-kiralik-21-daire-17369612/,15.000 TL,2+1,2. Kat,80 m²,Bursa - Osmangazi - Sakarya Mahallesi,17369612,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,75 m²,80 m²,21 Ve Üzeri,5,Kombi Doğalgaz,Boş,,,,Kat İrtifakı,Hayır,15000 TL,1,,,,,Genel Fiyat,,2627,20
https://www.emlakjet.com/ilan/bursa-yildirim-yildirim-beyazit-cami-alti-31-kombili-acik-otoparkli-1-kat-daire-kiralik-17368113/,15.000 TL,3+1,1. Kat,145 m²,Bursa - Yıldırım - Yıldırım Mahallesi,17368113,20 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,140 m²,145 m²,21 Ve Üzeri,4,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,15000 TL,1,,,,,Genel Fiyat,,2733,6
https://www.emlakjet.com/ilan/bursa-orhangazi-arapzade-mahallesi-kiralik-11-daire-17367039/,8.500 TL,1+1,Düz Giriş (Zemin),80 m²,Bursa - Orhangazi - Arapzade Mahallesi,17367039,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,75 m²,80 m²,21 Ve Üzeri,4,Sobalı,Boş,İkinci El,,,Bilinmiyor,Hayır,,1,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/sahibinden-kiralik-17367030/,29.000 TL,3+1,8. Kat,110 m²,Bursa - Nilüfer - Yüzüncüyıl Mahallesi,17367030,20 Mayıs 2025,21 Mayıs 2025,Konut,Kiralık,Daire,100 m²,110 m²,16-20,9,Kombi Doğalgaz,Boş,Sıfır,Boş,1000 TL,Kat Mülkiyeti,Evet,29000 TL,1,8 m²,Var,25 m²,2,Genel Fiyat,Hayır,2278,1
https://www.emlakjet.com/ilan/gursu-tokiler-31-120-m-kiralik-daire-17366986/,15.850 TL,3+1,Yüksek giriş,135 m²,Bursa - Gürsu - İpekyolu Mahallesi,17366986,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,120 m²,135 m²,5-10,14,Merkezi Doğalgaz,Boş,İkinci El,Boş,750 TL,Kat Mülkiyeti,Hayır,20000 TL,1,6 m²,Var,17 m²,2,Genel Fiyat,,551,2
https://www.emlakjet.com/ilan/site-icinde-sahibinden-31-kiralik-daire-17366759/,20.000 TL,3+1,7. Kat,150 m²,Bursa - Yıldırım - 75. Yıl Mahallesi,17366759,20 Mayıs 2025,22 Mayıs 2025,Konut,Kiralık,Daire,125 m²,150 m²,16-20,8,Kombi Doğalgaz,Boş,İkinci El,,350 TL,Kat İrtifakı,Evet,,1,,Var,,2,Genel Fiyat,Evet,4198,1
https://www.emlakjet.com/ilan/21-firsat-luks-kiralik-daire-17366753/,24.500 TL,2+1,3. Kat,100 m²,Bursa - Nilüfer - Özlüce Mahallesi,17366753,20 Mayıs 2025,20 Mayıs 2025,Konut,Kiralık,Daire,90 m²,100 m²,5-10,3,Yerden Isıtma,Boş,,Boş,,Kat Mülkiyeti,Evet,,1,,,,,Genel Fiyat,,,
https://www.emlakjet.com/ilan/fsm-caddesine-100m-merkezi-konumda-aydinlik-salkim-1-sitesi-31-kiralik-daire-17341809/,28.000 TL,3+1,5. Kat,155 m²,Bursa - Nilüfer - Esentepe Mahallesi,17341809,15 Mayıs 2025,15 Mayıs 2025,Konut,Kiralık,Daire,140 m²,155 m²,16-20,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,1,,,,,Genel Fiyat,,1949,4
